name,trans
多人数の息,많은 사람의 숨소리
ダンサー,댄서
ダンサーたち,댄서들
知人ダンサー,지인 댄서
子ども,아이
知人男性,지인 남성
知人女性,지인 여성
ライブハウス受付,라이브 하우스 접수처
ライブハウスの客,라이브 하우스의 손님
ライブハウスの客たち,라이브 하우스의 손님들
テレビのニュース,텔레비전 뉴스
ピアノ生徒の保護者,피아노 학생의 보호자
ピアノ生徒,피아노 학생
広告マン,광고맨
現場監督,현장 감독
帰路のタクシー運転手,귀로의 택시 운전사
芸能記事,예능 기사
現場スタッフ数名,현장 스태프 수명
スポンサー企業,스폰서 기업
企画ディレクター,기획 디렉터
打ち上げの一同,뒤풀이 일동
その場の一同,그 자리의 일동
Ａチームダンサー,A팀 댄서
ダンサー側スタッフ,댄서측 스태프
タクシー運転手,택시 운전사
会長の妻,회장의 아내
商店街の会長,상점가의 회장
ステージ主催者,스테이지 주최자
周囲の女の子たち,주위의 여자 아이들
幽霊？,유령?
撮影スタッフ,촬영 스태프
男性,남성
記者,기자
赤ちゃん,아기
３、２、１──,"3, 2, 1──"
イベント関係者,이벤트관계자
通行人,통행인
女性,여성
リーダーの少女,리더 소녀
校長,교장
女性の観客,여성 관객
男性の観客,남성 관객
責任者,책임자
おばあさん,할머니
美容師,미용사
同級生,동급생
子どもたち,아이들
不審な男,의심스러운 남자
仔馬,망아지
賞金稼ぎ,현상금 사냥꾼
乗務員一同,승무원 일동
生徒会長,학생회장
副会長,부회장
校内放送,교내 방송
ラジオ番組,라디오 프로그램
生徒,학생
オニ,오니
ゲーム画面,게임 화면
ロッジの管理人,롯지 관리인
実況,실황
ツイスタ投稿,트위스터 투고
事務局スタッフ,사무국 스태프
会場,회장
女性ファン,여성 팬
編集長,편집장
会議進行役,회의 진행자
周囲の参加者,주위의 참가자
アイドルファン,아이돌 팬
アナウンサー,아나운서
アナウンス,방송
イベント主催者,이벤트 주최자
エリザベス,엘리자베스
カンペ,컨닝 페이퍼
キティ,키티
クマ,곰
ジェーン,제인
スマホの画面表示,스마트폰의 화면 표시
スマホニュース,스마트폰 뉴스
チームうさちよかめ,팀 토끼치요거북
チームまりあ,팀 마리아
チームピーちゃん,팀 피쨩
チームヘルメス,팀 헤르메스
チーム一番星,팀 샛별
チーム青春ジャージ,팀 청춘 츄리닝
ファン,팬
プリデューサー,프로듀서
メアリー,메리
リスナー,청취자
リディア,리디아
作業員,작업원
偉い人,높은 사람
写真館の主人,사진관의 주인
受付スタッフ,접수 스태프
園内放送,원내 방송
場内アナウンス,장내 방송
天使,천사
宅配スタッフ,택배 스태프
実況者,실황자
少女,소녀
店主,점주
悪魔,악마
摩美々の母,마미미의 어머니
撮影ディレクター,촬영 디렉터
旅人,여행자
旅客,여객
智代子の友達,치요코의 친구
生花店の店主,꽃꽂이 가게 주인
男の子＆女の子,사내 아이＆여자 아이
男の子,사내 아이
精肉店の店員,정육점의 점원
街の喧騒,거리의 소란
街頭モニター,거리 모니터
謎の声,수수께끼의 소리
車内アナウンス,차내 방송
関係者,관계자
隣室の歌声,옆 방의 가성
霧子の母,키리코의 어머니
霧子の父,키리코의 아버지
音響,음향
２８３のサンタたち,283의 산타들
TVナレーション,TV나레이션
テレビのレポーター,텔레비전의 리포터
主人公,주인공
TV局職員,방송국 직원
ADふうの女性,AD풍의 여성
芸能人ふうの男性,연예인풍의 남성
モデルふうの女性,모델풍의 여성
学生,학생
少女＆透,소녀＆토오루
おじいさん,할아버지
つけっぱなしのテレビ,켜둔 텔레비전
めぐるの母,메구루의 어머니
アイドルのマネージャー,아이돌의 매니저
アルバイト先の社員,아르바이트하는 곳의 사원
イベント司会者,이벤트 사회자
インタビュアー,인터뷰어
ショップ店員,샵 점원
スタッフの声,스태프의 소리
パン屋の店員,빵가게의 점원
ファッション誌スタッフ,패션잡지 스태프
ボイストレーナー,보컬 트레이너
メッセージ,메세지
ラジオ番組の構成作家,라디오 프로그램의 구성 작가
ラジオ番組ディレクター,라디오 프로그램 디렉터
他事務所の面接官,타사무소의 면접관
共演者,공동 출연자
凛世＆ダンストレーナー,린제＆댄스 트레이너
出演者,출연자
夏葉の友人,나츠하의 친구
大食いタレント,대식가 탤런트
女,여자
宅配業者,택배 업자
彼女,그녀
彼氏,그이
担任,담임
智代子の母,치요코의 어머니
男＆透,남자＆토오루
男,남자
肉屋の店員,정육점의 점원
試験監督官,시험 감독관
通知音声,통지 음성
通行人Ａ,통행인 A
通行人Ｂ,통행인 B
降車アナウンス,하차 방송
SNSの投稿,SNS의 투고
TV番組の司会者,TV프로그램의 사회자
お天気キャスター,기상 캐스터
そば屋の大将,국수집 주인
めぐるの声,메구루의 목소리
アシスタント,어시스턴트
インフォメーション,인포메이션
スマホからの音声,스마트폰의 음성
タレント,탤런트
ディレクターふうの男性,디렉터 모습의 남자
ハガキの文面,엽서의 글내용
体育教師,체육 교사
凛世＆番組ディレクター,린제＆프로그램 디렉터
取材スタッフ,취재 스태프
大崎家の母,오사키가의 어머니
女の子の母親,여자아이의 모친
小さな女の子,작은 여자아이
少年,소년
構成作家,구성 작가
母親,모친
灯織の声,히오리의 소리
現場スタッフ,현장 스태프
番組プロデューサー,프로그램 프로듀서
番組出演者,프로그램 출연자
番組審査員,프로그램 심사원
番組ＭＣ,프로그램 MC
真乃のファン,마노 팬
真乃の声,마노의 소리
社会科教諭,사회과 교사
編集者,편집자
老婦人,노부인
落語映像,만담 영상
衣装スタッフ,의상 스태프
記事,기사
誰か,누군가
雑誌インタビュアー,잡지 인터뷰어
雑誌記者,잡지 기자
音楽番組ディレクター,음악 프로그램 디렉터
２年の生徒たち,2학년 학생들
パパ,파파
ママ,마마
テレビの字幕,텔레비전의 자막
通知,통지
【公式】,【공식】
会場のアイドルたち,회장의 아이돌들
叔母,숙모
控室リポーター,대기실 리포터
白チームキャプテン,백팀 캡틴
航海士,항해사
騎馬戦実況者,기마전 실황자
VTRのナレーション,VTR의 나레이션
演出家,연출가
件名,제목
青年,청년
ウェイター,웨이터
カメラマンの声,카메라맨의 목소리
コメント,코멘트
モニタータレント,모니터 탤런트
モニター芸人,모니터 연예인
中学生モデルㅡ,중학생 모델
営業,영업
女子高生モデル,여고생 모델
男子高生アイドル,남고생 아이돌
質問,질문
TV局のディレクター,방송국의 디렉터
ボス,보스
エージェント・Ｓ,에이전트 S
イベントMC,이벤트 MC
かくれんぼゲーム担当,숨바꼭질 게임 담당
STEALTH担当,STEALTH 담당
宿直室スタッフ,숙직실 스태프
室内アナウンス,실내 방송
敵,적 
現場責任者,현장 책임자
スタッフたち,스태프들
施設内アナウンス,시설내 방송
智代子の弟,치요코의 동생
見張り,파수꾼
ペットショップの店員,애완 동물 가게 점원
郵便配達員,우편 집배원
妹,여동생
フクロウ,부엉이
プッシュ通知,푸시 알림
モデル,모델
元同級生,전 동급생
夢追いガール,꿈 쫓는 소녀
後輩たち,후배들
後輩１,후배1
後輩２,후배2
投稿コメント,투고 코멘트
担当プランナー,담당 플래너
数学教師,수학 교사
演技講師,연기 강사
照明スタッフ,조명 스태프
真乃＆飼育員,마노 & 사육사
結華の友達,유이카의 친구
開発メンバー,개발 멤버
霧ちゃん,키리쨩
音響スタッフ,음향 스태프
飼育員,사육사
ラジオパーソナリティ,라디오 진행자
広告会社ディレクター,광고회사 디렉터
広告Ｄ＆プロデューサー,광고D&프로듀서
係員,담당자
ゲーム音声,게임 음성
店長,점장
凛世の姉,린제의 언니
凛世の母,린제의 어머니
あすみ,아스미
誰かの声,누군가의 목소리
乗客,승객
テレビの音,텔레비전의 소리
白組メンバー,백군 멤버
赤組リーダー,홍군 리더
赤組メンバー,홍군 멤버
手紙,편지
児童クラブの先生,아동 클럽 선생님
お笑い,예능인
にちかと一同,니치카 일동
はづきからの連絡,하즈키로부터의 연락
ゲストの女医,게스트 여의사
スタッフ一同,스탭 일동
テレビ局スタッフ,텔레비전 방송국 스태프
ボーカル講師,보컬 강사
マネージャー,매니저
会場スタッフ,회장 스태프
修学旅行生,수학여행학생
制作会社スタッフ,제작회사 스탭
書きこみへのリプライ,글쓰기의 댓글
現場ディレクター,현장 디렉터
番組司会者,프로그램 진행자
知り合いのディレクター,아는 디렉터
舞踏講師,무도 강사
雑誌記事,잡지 기사
雑誌質問,잡지 질문
Ａチーム,A팀
CDショップスタッフ,CD샵 스태프
お兄ちゃん,오빠
さおり,사오리
まな,마나
アンケート,앙케이트
イケメン俳優,꽃미남 배우
エミリア,에밀리아
オペレーター,오퍼레이터
オーディション審査員,오디션 심사원
カメラマン（現在）,카메라맨(현재)
ガソリンスタンド店員,주유소 점원
クラスメートたち,반 친구들
クラス委員,학급 위원
クリーニング店受付,세탁소 접수처
クルー,크루
ゲストの女優,게스트 여배우
ゲスト,게스트
ゲームの関係者,게임 관계자
コスメブランドスタッフ,화장품 브랜드 스태프
サラリーマンふうの客,월급쟁이풍의 손님
シャーロット,샬롯
スカウトマン,스카우트 맨
スタジオ関係者,스튜디오 관계자
スーパーの同僚,슈퍼 동료
スーパー店員,슈퍼 점원
ソフィア,소피아
ツイスタのコメント,트위스터의 코멘트
ツイスタの投稿,트위스터 투고
ツイスタコメント,트위스터 코멘트
テレビのミュージシャン,텔레비전 음악가
テレビの画面,텔레비전의 화면
テレビスタッフ,텔레비전 스태프
テレビ番組の司会者,텔레비전 프로그램의 사회자
デザイナー,디자이너
デスクに置かれたメモ,데스크에 놓인 메모
デビ太郎,데비타로
ドラマの声,드라마의 소리
ニュースを読む声,뉴스를 읽는 소리
パーティーの客,파티 손님
ヒロイン,히로인
ファミレス店員,패밀리 레스토랑 점원
ファンの声援,팬의 성원
ファンの声,팬의 목소리
フロントスタッフ,프론트 스탭
プロデューサーの連絡,프로듀서의 연락
ベテラン女優,베테랑 여배우
マメ丸,마메마루
メイク担当,메이크업 담당
メイド,메이드
メッセージカード,메시지 카드
メッセージボード,메시지 보드
メールの文面,메일의 내용
ラジオのスタッフ,라디오 스태프
ラジオの音声（夏葉）,라디오의 음성(나츠하)
ラジオの音声,라디오의 음성
ラジオディレクター,라디오 디렉터
ラジオ,라디오
リビングの声,거실의 소리
中学生モデル,중학생 모델
主演俳優,주연 배우
主演,주연
他店１店員,다른 가게 1 점원
他店２店員,다른 가게 2 점원
付き人,시중드는 사람
代官,대관
仲間,동료
企画担当,기획 담당
共演者たち,공연자들
写真店スタッフ,사진점 스태프
凛世の友人たち,린제의 친구들
高校生たち,고교생들
制作スタッフ,제작 스태프
劇場売店の女性店員,극장 매점의 여점원
劇場男性スタッフ,극장 남성 스태프
助手の声,조수의 목소리
助手,조수
同心,동심
半ズボンの男の子,반바지 사내아이
取引先の担当,거래처의 담당
取引先の部長,거래처의 부장
商売敵,장사의 경쟁자
善村,요시무라
土産物店店主,기념품점 주인
執事,집사
夏葉の兄,나츠하의 오빠
大歓声,큰 환호성
大泥棒,대 도둑
天の声,하늘의 소리
天文台スタッフ,천문대 스태프
天気予報,일기 예보
契約書の文言,계약서의 문구
女の子のマネージャー,여자아이의 매니저
女の子の父親,여자아이의 아버지
女性の声,여성 목소리
女性客,여성 손님
姉からの連絡,언니로부터의 연락
姉の夫,형부
姉の書き置き,언니의 메모
客席からの声,객석에서의 소리
客,손님
宣伝担当,선전 담당
寺院の職員,사원의 직원
小さな男の子,어린 사내아이
小糸の担任,코이토의 담임
屋台のおじさん,포장마차 아저씨
年配の女性客,나이든 여성 손님
年配の警備員,나이든 경비원
幽霊,유령
応答する声,응답하는 목소리
怪盗,괴도
悪人,악인
放送番組の音声,방송 프로그램의 음성
新人アイドル,신인 아이돌
新幹線ホームアナウンス,신칸센 홈 아나운스
新聞配達員,신문 배달원
星柄シャツの男の子,별무늬 셔츠의 남자 아이
映画の中の男,영화 속의 남자
映画館前の貼り紙,영화관 앞의 벽보
智代子の父,치요코의 아버지
書名,서명
果穂の友人,카호의 친구
母の書き置き,어머니의 메모
沿道のファンの声援,길가의 팬의 성원
注目のモデル,주목의 모델
焼き芋の移動販売,군고구마 이동 판매
牛丼店店員,규동점 점원
犯人,범인
甜花の手紙,텐카의 편지.
生物の教師,생물 교사
生花店スタッフ,꽃집 스탭
男の手紙,남자의 편지
町人たち,동네 사람들
町人,마을 사람
番組ゲスト,프로그램 게스트
番組AD,프로그램 AD
白いＴシャツの男の子,흰 티셔츠의 남자 아이
神主,신관
結華の兄,유이카의 오빠
結華の弟,유이카의 동생
結華の母,유이카의 어머니
結華の父,유이카의 아버지
絵の中の幽霊,그림 속의 유령
舞踏家,무도가
船主の女性,선주의 여성
裏方のスタッフ,뒤쪽의 스탭
警備員,경비원
警護スタッフ,경호 스태프
赤組メンバーたち,적팀 멤버들
透のクラスメート,토오루의 클래스메이트
女子高生ら,여고생들
進行役,진행역
配達員,배달원
阿久井,아쿠이
隣の乗客,옆의 승객
雑誌担当者,잡지 담당자
雑誌編集,잡지 편집
電話の声,전화 목소리
霧子の担任,키리코의 담임
音声ガイド,음성 안내서
飼い主,주인
２８３プロダクション,283프로덕션
SNSの声,SNS의 목소리 
カフェ店員,카페 점원
SNSへの投稿,SNS에 올리는 글
女生徒A,여학생A
女生徒B,여학생B
アカウント,계정
あるアカウント,어느 계정
