name,trans
【ミッドナイトモンスター】月岡 恋鐘,【미드나잇 몬스터】 츠키오카 코가네
トリック・オア・トリート！\n永遠とは君の名,트릭 오어 트릿!\n영원이란 너의 이름
【ホーリーナイトケープ】月岡 恋鐘,【홀리나잇 케이프】 츠키오카 코가네
メリークリスマス！\nなんという真紅、なんという黄金,"메리 크리스마스!\n이 무슨 진홍, 이 무슨 황금"
【ワンダーランドホッピン】月岡 恋鐘,【원더랜드 호핀】 츠키오카 코가네
霧・霧・奇・譚。\n鼓動より早く跳ねて,무・무・기・담.\n고동보다 빨리 뛰고
【オーバーキャストモノクローム】月岡 恋鐘,【오버캐스트 모노크롬】 츠키오카 코가네
ワンステップ。纏うは白金、歌えよ黄金,"원 스텝. 두르는 것은 백금, 노래하라 황금"
【ファッショナブルサマー】月岡 恋鐘,【패셔너블 서머】 츠키오카 코가네
サマーダイブ！　解けぬように夏を編んで,서머 다이브! 풀리지 않게끔 여름을 엮어서
【イノセントセーラー】月岡 恋鐘,【이노센트 세일러】 츠키오카 코가네
ビー・アンビシャス。\n夏の君が乱反射して,비 앰비셔스.\n여름의 네가 난반사되어
【ニューイヤーハレギ】月岡 恋鐘,【뉴이어 하레기】 츠키오카 코가네
春風献上。\n緋に咲く白は,춘풍헌상.\n주홍에 피는 하양은
【サンセットスカイパッセージ】月岡 恋鐘,【선셋 스카이 패시지】 츠키오카 코가네
スタッカート。ここは何度目の,스타카토. 여기는 몇 번째의
【リフレッシュサマー】月岡 恋鐘,【리프레쉬 서머】 츠키오카 코가네
マジックアワー。夏色眼鏡で君を染めて,매직 아워. 여름빛 안경으로 너를 물들이고
【ホリディプリンセス】月岡 恋鐘,【홀리데이 프린세스】 츠키오카 코가네
Bedtime Story／掬わないで、零れだすから,"Bedtime Story / 건져내지 마, 넘쳐흐를 테니"
ミスティックマエストラ,미스틱 마에스트라
ドレープドパープル,드레이프드 퍼플
パンキーマイゴーラウンド,펑키 마이 고 라운드
【シャイニーサマー】田中 摩美々,【샤이니 섬머】 타나카 마미미
1stシーズンの水着。パーカーでハズし感を演出,1st 시즌의 수영복. 파카로 언밸런스감을 연출
【ジャージ】田中 摩美々,【저지】 타나카 마미미
水色ジャージ。運動性に優れている！！,물색 저지. 운동성이 뛰어나다!!
【ミッドナイトモンスター】田中 摩美々,【미드나잇 몬스터】 타나카 마미미
トリック・オア・トリート！\nまみみの魔法は特別だよー,트릭 오어 트릿!\n마미미의 마법은 특별하다구ー
【ホーリーナイトケープ】田中 摩美々,【홀리나잇 케이프】 타나카 마미미
メリークリスマス！\nイブの日の戸締りは入念に,메리 크리스마스!\n이브날 문단속은 꼼꼼하게
【ワンダーランドチェシャー】田中 摩美々,【원더랜드 체셔】 타나카 마미미
霧・霧・奇・譚。\n複雑な縞模様は宙に霧散する,무・무・기・담.\n복잡한 줄무늬는 공중으로 흩어진다
【オーバーキャストモノクローム】田中 摩美々,【오버캐스트 모노크롬】 타나카 마미미
ワンステップ。この翼が、たぶん大切だから,"원 스텝. 이 날개가, 아마도 소중하니까"
【ファッショナブルサマー】田中 摩美々,【패셔너블 서머】 타나카 마미미
サマーダイブ！　スポーティーもカジュアルに,서머 다이브! 스포티도 캐주얼하게
【イノセントセーラー】田中 摩美々,【이노센트 세일러】 타나카 마미미
ビー・アンビシャス。\n言葉は夏雲にかくした,비 앰비셔스.\n말은 여름 구름에 숨겼다
【ニューイヤーハレギ】田中 摩美々,【뉴이어 하레기】 타나카 마미미
春風献上。\n当て所はひらり、蝶のように,"춘풍헌상.\n목표는 팔랑, 나비처럼"
【サンセットスカイパッセージ】田中 摩美々,【선셋 스카이 패시지】 타나카 마미미
スタッカート。少しでも遠くへなんてね,스타카토. 조금이라도 멀리...농담이야
【リフレッシュサマー】田中 摩美々,【리프레쉬 서머】 타나카 마미미
マジックアワー。流れる汗がキレイに見えた,매직 아워. 흐르는 땀이 아름다워 보였다
【ホリディプリンセス】田中 摩美々,【홀리데이 프린세스】 타나카 마미미
Bedtime Story／キマグレ・プリンセス,Bedtime Story / 변덕쟁이 프린세스
ノーブルベッラ,노블 벨라
ミリタリーテイマー,밀리터리 테이머
【シャイニーサマー】白瀬 咲耶,【샤이니 섬머】 시라세 사쿠야
1stシーズンの水着。夏の日差しに負けない輝き,1st 시즌의 수영복. 여름 햇살에 지지 않는 반짝임
【ジャージ】白瀬 咲耶,【저지】 시라세 사쿠야
水色ジャージ。腕まくりをして準備は万端,물색 저지. 팔을 걷고 만반의 준비
【ミッドナイトモンスター】白瀬 咲耶,【미드나잇 몬스터】 시라세 사쿠야
トリック・オア・トリート！\n満月の日はオオカミにご用心♡,트릭 오어 트릿!\n보름달이 뜬 날엔 늑대 조심♡
【ホーリーナイトケープ】白瀬 咲耶,【홀리나잇 케이프】 시라세 사쿠야
メリークリスマス！\nどこかのアナタへ真心を込めて,메리 크리스마스!\n 어딘가의 당신에게 정성을 다해
【ワンダーランドハット】白瀬 咲耶,【원더랜드 햇】 시라세 사쿠야
霧・霧・奇・譚。\nさあ席へ、このお茶会は永遠だ,"무・무・기・담.\n자, 자리로, 이 다과회는 영원해"
【オーバーキャストモノクローム】白瀬 咲耶,【오버캐스트 모노크롬】 시라세 사쿠야
ワンステップ。この空の下にいる,원 스텝. 이 하늘 아래에 있어
【ファッショナブルサマー】白瀬 咲耶,【패셔너블 서머】 시라세 사쿠야
サマーダイブ！　マーメイド・テイルを揺らして,서머 다이브! 머메이드 테일을 흔들어
【イノセントセーラー】白瀬 咲耶,【이노센트 세일러】 시라세 사쿠야
ビー・アンビシャス。\nこの声だけが白に滲む,비 앰비셔스.\n이 목소리만이 흰색으로 번진다
【ニューイヤーハレギ】白瀬 咲耶,【뉴이어 하레기】 시라세 사쿠야
春風献上。\n座れば牡丹、進む姿は蒸気機関車,"춘풍헌상.\n앉으면 모란, 나아가는 모습은 증기기관차"
【サンセットスカイパッセージ】白瀬 咲耶,【선셋 스카이 패시지】 시라세 사쿠야
スタッカート。この空の下で歌う,스타카토. 이 하늘 아래에서 노래하다
【リフレッシュサマー】白瀬 咲耶,【리프레쉬 서머】 시라세 사쿠야
マジックアワー。海と落ち合い、ひと夏、デートへ,"매직 아워. 바다와 만나, 한여름, 데이트를"
【ホリディプリンセス】白瀬 咲耶,【홀리데이 프린세스】 시라세 사쿠야
Bedtime Story／レースの奥で待っているから,Bedtime Story / 레이스 안에서 기다리고 있으니까
パステリックライブリー,파스텔릭 라이블리
エモーショナルレイニー,이모셔널 레이니
オープンマインドローラー,오픈마인드 롤러
【シャイニーサマー】三峰 結華,【샤이니 섬머】 미츠미네 유이카
1stシーズンの水着。水鉄砲は添えるだけ,1st 시즌의 수영복. 물총은 곁들일 뿐
【ジャージ】三峰 結華,【저지】 미츠미네 유이카
水色ジャージ。メガネの行方は迷宮入り,물색 저지. 안경의 행방은 미궁 속으로
【ミッドナイトモンスター】三峰 結華,【미드나잇 몬스터】 미츠미네 유이카
トリック・オア・トリート！\nひとりだけ系統が違う、は禁句,"트릭 오어 트릿!\n혼자만 계통이 다르다, 는 언급 금지"
【ホーリーナイトケープ】三峰 結華,【홀리나잇 케이프】 미츠미네 유이카
メリークリスマス！\nじゃ、プレゼントは三峰でどう？,"메리 크리스마스!\n 그럼, 선물은 미츠미네로 어때?"
【ワンダーランドクイーン】三峰 結華,【원더랜드 퀸】 미츠미네 유이카
霧・霧・奇・譚。\nさぁ、傅いてみせて？,"무・무・기・담.\n자, 시중을 들어보렴?"
【オーバーキャストモノクローム】三峰 結華,【오버캐스트 모노크롬】 미츠미네 유이카
ワンステップ。これは幸せを降らせるための鈍色,원 스텝. 이것은 행복을 내리게 하기 위한 먹색
【ファッショナブルサマー】三峰 結華,【패셔너블 서머】 미츠미네 유이카
サマーダイブ！　今回はお姉さんモード,서머 다이브! 이번에는 언니 모드
【イノセントセーラー】三峰 結華,【이노센트 세일러】 미츠미네 유이카
ビー・アンビシャス。\nどうぞ攫って、夏のよそゆき,"비 앰비셔스.\n어서 채가, 여름 나들이옷"
【ニューイヤーハレギ】三峰 結華,【뉴이어 하레기】 미츠미네 유이카
春風献上。\nどうしても猫は外せなかった,춘풍헌상.\n어떻게 해도 고양이는 빠뜨릴 수 없었다
【サンセットスカイパッセージ】三峰 結華,【선셋 스카이 패시지】 미츠미네 유이카
スタッカート。私は雨上がりの空で踊る,스타카토. 나는 비 갠 뒤 하늘에서 춤춘다
【リフレッシュサマー】三峰 結華,【리프레쉬 서머】 미츠미네 유이카
マジックアワー。結って結んで、私じゃない私,"매직 아워. 땋고 매어서, 내가 아닌 나"
【ホリディプリンセス】三峰 結華,【홀리데이 프린세스】 미츠미네 유이카
Bedtime Story／私をお姫様にして,Bedtime Story / 나를 공주님으로 만들어줘
シークレットキュアリー,시크릿 큐어리
プロミスドローズ,프로미스드 로즈
ダイヤチェックゴシック,다이아 체크 고딕
【シャイニーサマー】幽谷 霧子,【샤이니 섬머】 유코쿠 키리코
1stシーズンの水着。雲にも空にも染まらずに,1st 시즌의 수영복. 구름에도 하늘에도 물들지 않고
【ジャージ】幽谷 霧子,【저지】 유코쿠 키리코
水色ジャージ。きみが跳ぶ時、それは優しい,"물색 저지. 네가 뛸 때, 그것은 다정하다"
【ミッドナイトモンスター】幽谷 霧子,【미드나잇 몬스터】 유코쿠 키리코
トリック・オア・トリート！\nああ、乙女を護りたまへ,"트릭 오어 트릿!\n아아, 소녀를 보호하소서"
【ホーリーナイトケープ】幽谷 霧子,【홀리나잇 케이프】 유코쿠 키리코
メリークリスマス！\nイヴの窓辺でつかまえて,메리 크리스마스!\n이브의 창가에서 붙잡아서
【ワンダーランドアリス】幽谷 霧子,【원더랜드 퀸】 유코쿠 키리코
霧・霧・奇・譚。\nうさあぎうさぎなうさぎうたさぎ,무・무・기・담.\n토끼당토끼토끼신토끼
【オーバーキャストモノクローム】幽谷 霧子,【오버캐스트 모노크롬】 유코쿠 키리코
ワンステップ。小鳥よ小鳥、世界はきみの庭,"원 스텝. 작은 새야 작은 새, 세계는 너의 정원"
【ファッショナブルサマー】幽谷 霧子,【패셔너블 서머】 유코쿠 키리코
サマーダイブ！　波がさらった五線譜のように,서머 다이브! 파도가 휩쓸고 간 오선보처럼
【イノセントセーラー】幽谷 霧子,【이노센트 세일러】 유코쿠 키리코
ビー・アンビシャス。\nイエッサー、君の命じるままに,"비 앰비셔스.\n옛써, 너의 명대로"
【ニューイヤーハレギ】幽谷 霧子,【뉴이어 하레기】 유코쿠 키리코
春風献上。\nレペゼン水玉,춘풍헌상.\nrepresent 물방울
【サンセットスカイパッセージ】幽谷 霧子,【선셋 스카이 패시지】 유코쿠 키리코
スタッカート。まなうらにほら、赤橙黄緑霧藍紫,"스타카토. 눈동자 속 깊은 곳에, 봐, 빨주노초파남보"
【リフレッシュサマー】幽谷 霧子,【리프레쉬 서머】 유코쿠 키리코
マジックアワー。おいで、音を忘れた翅たち,"매직 아워. 이리 오렴, 소리를 잃은 날개들"
【ホリディプリンセス】幽谷 霧子,【홀리데이 프린세스】 유코쿠 키리코
Bedtime Story／プールの底のお日さまみたいに,Bedtime Story / 수영장 바닥의 햇님처럼
ブレイブヒーロージャージ,브레이브 히어로 저지
紅蘭偉魔空珠英雄達,홍란위마공주 영웅들
パッショネイトボニータ,패셔네이트 보니토
トリッキーシバ★,트리키 시바★
【シャイニーサマー】小宮 果穂,【샤이니 섬머】 코미야 카호
1stシーズンの水着。お母さんと一緒に選んだ,1st 시즌의 수영복. 엄마랑 같이 고른
【ジャージ】小宮 果穂,【저지】 코미야 카호
水色ジャージ。運動能力特化、お揃い装備！,"물색 저지. 운동능력 특화, 맞춤 장비!"
【ミッドナイトモンスター】小宮 果穂,【미드나잇 몬스터】 코미야 카호
トリック・オア・トリート！\n出発進行！　──にゃあん！,트릭 오어 트릿!\n출발진행! ──냐앙!
【ホーリーナイトケープ】小宮 果穂,【홀리나잇 케이프】 코미야 카호
メリークリスマス！\n真実を知ったのは小４の冬,메리 크리스마스!\n진실을 알게 된 건 초4 겨울
【パジャマ・デ・カブカブ】小宮 果穂,【파자마 데 컵컵】 코미야 카호
スリープオーバー。\n肉球でふにふにします！,슬립오버.\n육구로 꾹꾹이할 거예요!
【オーバーキャストモノクローム】小宮 果穂,【오버캐스트 모노크롬】 코미야 카호
ワンステップ。飛び出せ、その向こうへ,"원 스텝. 달려나가라, 그 너머로"
【ファッショナブルサマー】小宮 果穂,【패셔너블 서머】 코미야 카호
サマーダイブ！　ポニテよし！　遊ぶ準備よし！,서머 다이브! 포니테일 됐고! 놀 준비 됐고!
【イノセントセーラー】小宮 果穂,【이노센트 세일러】 코미야 카호
ビー・アンビシャス。\n夏の手を取ってまた会いにゆくよ,비 앰비셔스.\n여름의 손을 잡고 또 만나러 갈게
【サンセットスカイパッセージ】小宮 果穂,【선셋 스카이 패시지】 코미야 카호
スタッカート。たくさんの色は、強い,"스타카토. 수많은 색깔은, 강하다"
【リフレッシュサマー】小宮 果穂,【리프레쉬 서머】 코미야 카호
マジックアワー。対夏専用　フル装備,매직 아워. 대 여름 전용 풀 장비
【ブレイブソウルサラウンド】小宮 果穂,【브레이브 소울 서라운드】 코미야 카호
５ピース★この音が君に届いていますように,5피스★이 소리가 너에게 닿기를
【アンユージュアルアワー】小宮 果穂,【언유주얼 아워】 코미야 카호
【特集】少しだけ、背伸び,"【특집】 조금만, 발돋움"
ショコラチョコレート,쇼콜라 초콜렛
ヤムヤムウェイトレス,얌얌 웨이트리스
【シャイニーサマー】園田 智代子,【샤이니 섬머】 소노다 치요코
1stシーズンの水着。爽やか版（本人談）,1st 시즌의 수영복. 상큼판(본인 주장)
【ジャージ】園田 智代子,【저지】 소노다 치요코
水色ジャージ。ウエストがゴムだと安心する,물색 저지. 허리 부분이 늘어난다면 안심이다
【ミッドナイトモンスター】園田 智代子,【미드나잇 몬스터】 소노다 치요코
トリック・オア・トリート！\nカロリーだってゴースト,트릭 오어 트릿!\n칼로리도 고스트
【ホーリーナイトケープ】園田 智代子,【홀리나잇 케이프】 소노다 치요코
メリークリスマス！\n冬季限定♡特別ラッピングチョコ,메리 크리스마스!\n겨울 한정♡특별 래핑 쵸코
【パジャマ・デ・ハムハム】園田 智代子,【파자마 데 햄햄】 소노다 치요코
スリープオーバー。\nあとはお菓子を頬張れば完璧,슬립오버.\n이제 과자로 볼을 부풀리면 완벽
【オーバーキャストモノクローム】園田 智代子,【오버캐스트 모노크롬】 소노다 치요코
ワンステップ。お腹のボタン、飛びませんように,"원 스텝. 배의 단추, 날아가지 않기를"
【ファッショナブルサマー】園田 智代子,【패셔너블 서머】 소노다 치요코
サマーダイブ！　おやつが恋しくなる仕上がり,서머 다이브! 간식이 그리워지는 마무리
【イノセントセーラー】園田 智代子,【이노센트 세일러】 소노다 치요코
ビー・アンビシャス。\nこの夏はおそろい水兵さんで！,비 앰비셔스.\n이번 여름은 맞춤 수병씨로!
【サンセットスカイパッセージ】園田 智代子,【선셋 스카이 패시지】 소노다 치요코
スタッカート。右の二の腕が不安なんて言わない,스타카토. 오른쪽 팔뚝이 불안하다고 하지 마
【リフレッシュサマー】園田 智代子,【리프레쉬 서머】 소노다 치요코
マジックアワー。可愛さとはしゃぎやすさの両立,매직 아워. 귀여움과 친근함의 양립
【ブレイブソウルサラウンド】園田 智代子,【브레이브 소울 서라운드】 소노다 치요코
５ピース★後輩ちゃんはくるくるな髪にうきうき,5피스★후배쨩은 뽀글뽀글한 머리에 들떠서
【アンユージュアルアワー】園田 智代子,【언유주얼 아워】 소노다 치요코
【特集】今の私はハイカカオ,【특집】 지금의 나는 하이카카오
ロッキンバッドガール,록킹 배드걸
タイトロープスタイル,타이트 로프 스타일
フリフリラブリーメイドリボン,팔랑팔랑 러블리 메이드 리본
【シャイニーサマー】西城 樹里,【샤이니 섬머】 사이죠 쥬리
1stシーズンの水着。小物で涼しさをプラスして,1st 시즌의 수영복. 소품으로 시원함을 더해
【ジャージ】西城 樹里,【저지】 사이죠 쥬리
水色ジャージ。元バスケ部の風格,물색 저지. 전 농구부의 품격
【ミッドナイトモンスター】西城 樹里,【미드나잇 몬스터】 사이죠 쥬리
トリック・オア・トリート！\n弱点は君のやさしさ,트릭 오어 트릿!\n약점은 너의 다정함
【ホーリーナイトケープ】西城 樹里,【홀리나잇 케이프】 사이죠 쥬리
メリークリスマス！\nあの星はアタシのもんだ！,메리 크리스마스!\n저 별은 내 거다!
【パジャマ・デ・ガオガオ】西城 樹里,【파자마 데 어흥어흥】 사이죠 쥬리
スリープオーバー。\n意外と暖かくて悪くない,슬립오버.\n의외로 따뜻하고 나쁘지 않다
【オーバーキャストモノクローム】西城 樹里,【오버캐스트 모노크롬】 사이죠 쥬리
ワンステップ。何処へでも、何処までもこの翼で,"원 스텝. 어디로든, 어디까지나 이 날개로"
【ファッショナブルサマー】西城 樹里,【패셔너블 서머】 사이죠 쥬리
サマーダイブ！　何かが変わる、夏になる,"서머 다이브! 무언가가 바뀐다, 여름이 된다"
【イノセントセーラー】西城 樹里,【이노센트 세일러】 사이죠 쥬리
ビー・アンビシャス。\n待ち合わせはランウェイの先で,비 앰비셔스.\n만남 약속은 런웨이 끝에서
【サンセットスカイパッセージ】西城 樹里,【선셋 스카이 패시지】 사이죠 쥬리
スタッカート。輝きを空へ返すように,스타카토. 반짝임을 하늘에 되돌려주듯이
【リフレッシュサマー】西城 樹里,【리프레쉬 서머】 사이죠 쥬리
マジックアワー。夏飛沫、弾ければ,"매직 아워. 여름 물보라, 튀면"
【ブレイブソウルサラウンド】西城 樹里,【브레이브 소울 서라운드】 사이죠 쥬리
５ピース★ドクロ・イナズマ・ロック,5피스★스컬・이나즈마・록
【アンユージュアルアワー】西城 樹里,【언유주얼 아워】 사이죠 쥬리
【特集】燃える心をレイヤード,【특집】 불타는 마음을 레이어드
ルリイロフレア,자남색 클레어
ミンティーアテンダント,민티 어텐던트
エレガントベールテール,엘레강트 베르테르
ステディマイキャット,스테디 마이 캣
【シャイニーサマー】杜野 凛世,【샤이니 서머】 모리노 린제
1stシーズンの水着。勇敢なる朱、灼熱の紺,"1st 시즌의 수영복. 용감한 붉음, 작열하는 감색"
【ジャージ】杜野 凛世,【저지】 모리노 린제
水色ジャージ。ジッパーは閉づべし撫子,물색 저지. 지퍼는 마땅히 닫아두는 나데시코
【ミッドナイトモンスター】杜野 凛世,【미드나잇 몬스터】 모리노 린제
トリック・オア・トリート！\n危険なのはあちらです......,트릭 오어 트릿!\n위험한 것은 저쪽입니다……
【ホーリーナイトケープ】杜野 凛世,【홀리나잇 케이프】 모리노 린제
メリークリスマス！\nゆける世のためのパヴァーヌ,메리 크리스마스!\n흘러가는 세상을 위한 파반느
【パジャマ・デ・ペンペン】杜野 凛世,【파자마 데 펭펭】 모리노 린제
スリープオーバー。\n飛べる、飛べる。飛べるさ,"슬립 오버.\n날 수 있어, 날 수 있어, 날 수 있다구"
【オーバーキャストモノクローム】杜野 凛世,【오버 캐스토 모노크롬】 모리노 린제
ワンステップ。翅翼に微熱あり,원 스텝. 시익에 미열 있음
【ファッショナブルサマー】杜野 凛世,【패셔너블 서머】 모리노 린제
サマーダイブ！　エメラルド、まだ夏を知らずして,"서머 다이브! 에메랄드, 아직 여름을 알지 못한 채"
【イノセントセーラー】杜野 凛世,【이노센트 세일러】 모리노 린제
ビー・アンビシャス。\n錨ヲ上ゲヨ、少女前進ス,"비 앰비셔스. \n닻을 올려라, 소녀 전진"
【サンセットスカイパッセージ】杜野 凛世,【선셋 스카이 패시지】 모리노 린제
スタッカート。ひかり、きみを通過して分光する,"스타카토. 빛, 너를 통과해서 분광한다"
【リフレッシュサマー】杜野 凛世,【리프레쉬 서머】 모리노 린제
マジックアワー。前髪よりも短い夏,매직 아워. 앞머리보다 짧은 여름
【ブレイブソウルサラウンド】杜野 凛世,【브레이브 소울 서라운드】 모리노 린제
５ピース★意味はない、リズムもいらない,"5 피스★의미는 없고, 리듬도 필요 없어"
【アンユージュアルアワー】杜野 凛世,【언유즈얼 아워】 모리노 린제
【特集】Twice As Nice,【특집】 Twice As Nice
グリッターバブリー,글리터 버블리
ハイ・マンダリンドレス,하이 만다린드레스
