text,trans,type
$nameの編成時\nVisualアピールUP,$1 편성 시\nVisual 어필 UP,
$nameの編成時\nVocalアピールUP,$1 편성 시\nVocal 어필 UP,
$nameの\n体力上限UP,$1의\n체력 상한 UP,
$nameの\n体力回復量上昇,$1의\n체력 회복량 상승,
$nameの\n体力減少量軽減,$1의\n체력 감소량 경감,
$nameの\nCenter担当適正UP,$1의\nCenter 담당 적정 UP,
$nameの\nDance担当適正UP,$1의\nDance 담당 적정 UP,
$nameの\nLeader担当適正UP,$1의\nLeader 담당 적정 UP,
$nameの\nVisual担当適正UP,$1의\nVisual 담당 적정 UP,
$nameの\nVocal担当適正UP,$1의\nVocal 담당 적정 UP ,
ライブをオートでプレイできる,라이브를 오토로 플레이할 수 있다,text
めぐる「わたし、プロデューサーと一緒にお仕事行きたいよー！」,"메구루「나, 프로듀서와 함께 일하고 싶어-！」",text
果穂「プロデューサーさんにお話したいこと、たーっくさんあります！　早く聞いてほしいですーっ！」,"카호「프로듀서님께 하고 싶은 이야기, 탁크씨 있습니다! 빨리 들어주셨으면 합니다 쉿!」",text
あさひ「つまんないっす～！　早く来るっすよ～！」,아사히「재미없어요! 빨리 와요!」,text
灯織「お忙しいのはわかってます。でも、私のプロデューサーは、プロデューサーしかいないんですよ」,히오리「바쁘신 것은 압니다.하지만 제 프로듀서는 프로듀서밖에 없어요」,text
真乃「ほ、ほわ……プロデューサーさん、お忙しいんでしょうか。最近お会いできていないので心配です」,"마노「호, 호,…프로듀서님, 바쁘신가요?요즘 못 뵈니 걱정이에요」",text
結華「営業終わりましたー、っと。ほらほらＰたん、早く報告させてー？」,"유이카「영업끝났습니다-어-. 저기 P탄, 빨리 보고하게-?」",text
甘奈「プロデューサーさん、ただいま～。えへへ、営業でいいことがあったから聞いてほしいな☆」,"아마나「프로듀서님, 다녀왔습니다~에헤헤, 영업에서 좋은 일이라도 생겼으니 들어봐라☆」",text
恋鐘「営業おわり～～～！　うちのばりすごかとこ、プロデューサーにも見せたかったばい！」,"코가네「영업 끝~~~! 우리 바리 스고카토코, 프로듀서에게도 보여주고 싶었어!」",text
円香「営業、終わりました。詳しい報告が必要でしたら声をかけてください」,"마도카 「영업, 끝났습니다.자세한 보고가 필요하면 얘기해 주세요.",text
冬優子「はい、お疲れ様。──営業頑張ったふゆを、ちょっとは労いなさいよ」,"후유코 네, 수고했다.-영업 열심히 한 겨울을 좀 위로하라.",text
凛世「ただいま……戻りました……営業は……つつがなく……」,린제 「다녀왔어……돌아왔습니다…영업은… 아무 탈 없이…」,text
千雪「直帰の予定だったんですけど……寄っちゃいました。営業完了です、プロデューサーさん」,"치유키「직귀 예정이었습니다만……들러버렸습니다.영업 완료됐습니다 프로듀서님""",text
咲耶「さあ、営業が終わったよ。私たちの成果、確かめてくれないかい？」,"사쿠야 「자, 영업 끝났어.우리의 성과를 확인해 줄 수 있겠니?",text
雛菜「あは～♡　営業おわったよ～～～雛菜、ごほうびにケーキが食べたいな～？」,"히나나 「아하하~♡ 영업 끝났어~~~ 히나마나, 포상으로 케이크가 먹고 싶네~?」 ",text
